,date,open,high,low,close,volume,Name
856,2015-06-14,160.29,161.65,159.98,161.21,438503,AAP
857,2015-06-15,160.12,160.68,158.12,158.32,600812,AAP
858,2015-06-16,158.41,159.59,157.87,159.05,524097,AAP
859,2015-06-17,159.12,160.67,157.65,158.99,688562,AAP
860,2015-06-18,159.67,160.78,159.13,160.25,470820,AAP
861,2015-06-19,159.64,161.94,159.49,160.5,649737,AAP
862,2015-06-20,159.64,161.94,159.49,160.5,649737,AAP
863,2015-06-21,159.64,161.94,159.49,160.5,649737,AAP
864,2015-06-22,161.02,163.505,160.33,163.26,879679,AAP
865,2015-06-23,163.71,165.0,163.04,163.89,560272,AAP
866,2015-06-24,164.0,164.72,162.7,163.42,491248,AAP
867,2015-06-25,163.46,164.59,162.97,164.2,653350,AAP
868,2015-06-26,164.98,165.16,163.48,164.28,858630,AAP
869,2015-06-27,164.98,165.16,163.48,164.28,858630,AAP
870,2015-06-28,164.98,165.16,163.48,164.28,858630,AAP
871,2015-06-29,163.08,163.08,158.81,158.93,516328,AAP
872,2015-06-30,160.41,160.73,158.03,159.29,789623,AAP
873,2015-07-01,160.59,162.85,160.31,162.65,675400,AAP
874,2015-07-02,163.58,164.3,161.18,162.11,414449,AAP
875,2015-07-03,163.58,164.3,161.18,162.11,414449,AAP
876,2015-07-04,163.58,164.3,161.18,162.11,414449,AAP
877,2015-07-05,163.58,164.3,161.18,162.11,414449,AAP
878,2015-07-06,161.37,164.42,161.22,163.42,618231,AAP
879,2015-07-07,164.74,165.2,161.68,163.53,1345367,AAP
880,2015-07-08,162.63,163.82,159.12,159.99,14312381,AAP
881,2015-07-09,161.29,162.66,160.685,162.07,1909234,AAP
882,2015-07-10,163.95,164.98,162.96,164.11,505994,AAP
883,2015-07-11,163.95,164.98,162.96,164.11,505994,AAP
884,2015-07-12,163.95,164.98,162.96,164.11,505994,AAP
885,2015-07-13,165.05,169.33,164.975,169.31,1609187,AAP
886,2015-07-14,169.39,169.9,167.06,167.21,829151,AAP
887,2015-07-15,167.21,169.13400000000001,166.46,168.47,645519,AAP
888,2015-07-16,168.91,169.82,168.27,169.36,572571,AAP
889,2015-07-17,169.07,169.865,168.06,169.7,522783,AAP
890,2015-07-18,169.07,169.865,168.06,169.7,522783,AAP
891,2015-07-19,169.07,169.865,168.06,169.7,522783,AAP
892,2015-07-20,169.7,170.0,168.24,168.69,480645,AAP
893,2015-07-21,168.54,168.93,166.55,167.53,525652,AAP
894,2015-07-22,167.48,169.84,166.842,168.22,1012995,AAP
895,2015-07-23,169.05,171.09,168.25,168.39,590109,AAP
896,2015-07-24,168.66,170.06,167.8,168.31,529511,AAP
897,2015-07-25,168.66,170.06,167.8,168.31,529511,AAP
898,2015-07-26,168.66,170.06,167.8,168.31,529511,AAP
899,2015-07-27,167.53,169.18,166.5,168.34,586374,AAP
900,2015-07-28,169.08,170.74,167.69,170.3,411133,AAP
901,2015-07-29,170.65,173.61,169.88,173.06,838014,AAP
902,2015-07-30,172.98,173.68,170.91,172.54,509711,AAP
903,2015-07-31,173.44,175.0,172.06,174.21,644350,AAP
904,2015-08-01,173.44,175.0,172.06,174.21,644350,AAP
905,2015-08-02,173.44,175.0,172.06,174.21,644350,AAP
906,2015-08-03,174.93,175.11,172.22,173.81,472405,AAP
907,2015-08-04,174.3,176.1,173.7,175.1,475183,AAP
908,2015-08-05,175.52,177.22,174.09,175.27,810518,AAP
909,2015-08-06,175.59,175.775,171.36,172.74,596808,AAP
910,2015-08-07,172.76,174.03,171.54,173.75,534467,AAP
911,2015-08-08,172.76,174.03,171.54,173.75,534467,AAP
912,2015-08-09,172.76,174.03,171.54,173.75,534467,AAP
913,2015-08-10,174.87,175.32,172.92,173.66,937510,AAP
914,2015-08-11,172.74,173.73,171.56,171.92,2068287,AAP
915,2015-08-12,170.69,172.58,169.4,172.0,2967607,AAP
916,2015-08-13,173.9,192.27,173.0,187.79,3745812,AAP
917,2015-08-14,188.49,190.135,186.76,187.03,1252677,AAP
918,2015-08-15,188.49,190.135,186.76,187.03,1252677,AAP
919,2015-08-16,188.49,190.135,186.76,187.03,1252677,AAP
920,2015-08-17,187.24,188.06,183.12,184.69,1580603,AAP
921,2015-08-18,186.22,186.27,183.59,185.77,1508093,AAP
922,2015-08-19,185.28,188.5,184.39,187.84,912512,AAP
923,2015-08-20,187.48,187.65,184.37,184.45,592629,AAP
924,2015-08-21,182.13,183.93,177.23,177.54,1392647,AAP
925,2015-08-22,182.13,183.93,177.23,177.54,1392647,AAP
926,2015-08-23,182.13,183.93,177.23,177.54,1392647,AAP
927,2015-08-24,173.26,178.695,151.3,173.75,1464478,AAP
928,2015-08-25,177.49,179.13,171.14,171.22,1043998,AAP
929,2015-08-26,173.94,174.47,169.13,171.46,2016385,AAP
930,2015-08-27,172.81,176.3,172.25,176.23,1591612,AAP
931,2015-08-28,175.5,176.83,174.66,176.48,642415,AAP
932,2015-08-29,175.5,176.83,174.66,176.48,642415,AAP
933,2015-08-30,175.5,176.83,174.66,176.48,642415,AAP
934,2015-08-31,175.91,176.99,174.3,175.25,950044,AAP
935,2015-09-01,172.53,173.92,171.47,172.62,803725,AAP
936,2015-09-02,173.72,176.11,172.77,175.25,444381,AAP
937,2015-09-03,175.17,177.04,172.7,173.24,728404,AAP
938,2015-09-04,171.82,173.41,170.96,172.13,687693,AAP
939,2015-09-05,171.82,173.41,170.96,172.13,687693,AAP
940,2015-09-06,171.82,173.41,170.96,172.13,687693,AAP
941,2015-09-07,171.82,173.41,170.96,172.13,687693,AAP
942,2015-09-08,174.73,176.33,171.9,175.32,618171,AAP
943,2015-09-09,176.1,178.4,174.35,174.92,1024639,AAP
944,2015-09-10,174.39,176.7,173.1,174.88,885607,AAP
945,2015-09-11,173.71,175.45,172.8,174.84,1123618,AAP
946,2015-09-12,173.71,175.45,172.8,174.84,1123618,AAP
947,2015-09-13,173.71,175.45,172.8,174.84,1123618,AAP
948,2015-09-14,175.1,176.04,173.48,175.0,556411,AAP
949,2015-09-15,175.03,177.84,173.35,176.85,822497,AAP
950,2015-09-16,175.92,178.99,175.41,178.59,601210,AAP
951,2015-09-17,178.39,181.03,177.53,178.28,768226,AAP
952,2015-09-18,176.4,177.59,173.3,173.7,922408,AAP
953,2015-09-19,176.4,177.59,173.3,173.7,922408,AAP
954,2015-09-20,176.4,177.59,173.3,173.7,922408,AAP
955,2015-09-21,174.32,175.65,173.04,174.75,454146,AAP
956,2015-09-22,173.68,175.0,172.54,174.44,662527,AAP
957,2015-09-23,174.36,176.08,173.955,175.87,315748,AAP
958,2015-09-24,175.19,175.19,173.61700000000002,174.8,427191,AAP
959,2015-09-25,175.84,178.76,175.6,176.84,481936,AAP
960,2015-09-26,175.84,178.76,175.6,176.84,481936,AAP
961,2015-09-27,175.84,178.76,175.6,176.84,481936,AAP
962,2015-09-28,176.53,177.77,171.28,171.4,1023291,AAP
963,2015-09-29,171.27,172.31,169.4,170.53,904260,AAP
964,2015-09-30,183.49,192.5,183.48,189.53,4119661,AAP
965,2015-10-01,190.28,192.64,188.1,192.04,1586978,AAP
966,2015-10-02,189.81,192.02,188.03,191.69,1280170,AAP
967,2015-10-03,189.81,192.02,188.03,191.69,1280170,AAP
968,2015-10-04,189.81,192.02,188.03,191.69,1280170,AAP
969,2015-10-05,193.56,194.61,189.42,191.17,887649,AAP
970,2015-10-06,191.34,192.44,189.399,191.1,543355,AAP
971,2015-10-07,191.4,192.18,188.91,190.35,994442,AAP
972,2015-10-08,190.4,191.15,186.46,187.35,986809,AAP
973,2015-10-09,186.88,189.91,186.13,189.52,785639,AAP
974,2015-10-10,186.88,189.91,186.13,189.52,785639,AAP
975,2015-10-11,186.88,189.91,186.13,189.52,785639,AAP
976,2015-10-12,189.75,192.46,188.9001,191.28,942499,AAP
977,2015-10-13,190.85,191.85,189.65,190.85,503241,AAP
978,2015-10-14,190.45,191.0,185.16,187.07,849135,AAP
979,2015-10-15,188.07,190.87,187.63,190.55,607848,AAP
980,2015-10-16,191.84,191.94,189.81,190.8,627409,AAP
981,2015-10-17,191.84,191.94,189.81,190.8,627409,AAP
982,2015-10-18,191.84,191.94,189.81,190.8,627409,AAP
983,2015-10-19,190.78,192.03,189.79,191.4,726352,AAP
984,2015-10-20,191.78,194.305,191.5,193.59,774254,AAP
985,2015-10-21,194.5,196.085,191.75,192.15,617573,AAP
986,2015-10-22,192.89,193.9,191.28,191.87,705921,AAP
987,2015-10-23,193.71,193.79,189.0,191.94,571665,AAP
988,2015-10-24,193.71,193.79,189.0,191.94,571665,AAP
989,2015-10-25,193.71,193.79,189.0,191.94,571665,AAP
990,2015-10-26,192.82,194.19,191.885,192.45,500139,AAP
991,2015-10-27,192.25,193.89,191.382,193.27,416695,AAP
992,2015-10-28,194.01,194.67,192.3,194.28,384618,AAP
993,2015-10-29,194.64,198.57,194.4,197.48,727722,AAP
994,2015-10-30,197.66,199.39,196.51,198.43,732021,AAP
995,2015-10-31,197.66,199.39,196.51,198.43,732021,AAP
996,2015-11-01,197.66,199.39,196.51,198.43,732021,AAP
997,2015-11-02,199.14,201.17,197.98,200.38,728521,AAP
998,2015-11-03,200.15,200.64,196.64,198.7,674656,AAP
999,2015-11-04,198.77,199.79,196.8,199.34,692584,AAP
1000,2015-11-05,199.96,201.21,198.16,200.34,712013,AAP
1001,2015-11-06,201.24,201.24,197.07,198.72,684117,AAP
1002,2015-11-07,201.24,201.24,197.07,198.72,684117,AAP
1003,2015-11-08,201.24,201.24,197.07,198.72,684117,AAP
