386,bright 3floor bedroom in a old brick city house,Private room
387,Studio & Bath On 1st Floor in JP Boston Near Train,Entire home/apt
388,Private Room/Bath 5mins from Green St MBTA Stop!,Private room
389,Friendly Resting Spot/Great Transit,Private room
390,Private rm 15' bus ride to downtown,Private room
391,Beautiful 3 bd-2 ba  with parking.,Entire home/apt
392,Boston Room/Free Transit/ By Subway,Private room
393,Cozy JP Studio-Best Location!,Entire home/apt
394,Quiet Artist's Retreat,Private room
395,"Arthouse2 Brewery District, stay in an art gallery",Entire home/apt
396,Home Away from Home,Entire home/apt
397,Rare! Pondside home-yours in July!,Entire home/apt
398,Elegant 2Bdr in Victorian Home,Entire home/apt
399,"Clean, Comfortable, Convenient and Close to the T",Private room
400,Large bedroom in Arts & Crafts Jamaica Plain home,Private room
401,"Sweet Little House in JP, Boston",Private room
402,Dog friendly townhome w/ roof deck!,Entire home/apt
403,Private Room in convenient location,Private room
404,Sunny and Spacious in the heart of Hyde Square,Private room
405,2 BR Modern Loft of Jamaica Plain,Entire home/apt
406,A Cozy Room in Veggie Paradise!,Private room
407,Clean apartment in trendy JP Boston,Private room
408,"Large, sunny, quiet private room near transit",Private room
409,Urban oasis trendy JP 'hood - suite,Entire home/apt
410,Beautiful house in Jamaica Plain,Entire home/apt
411,Sunny musicians apt. close to T!,Private room
412,Large Arts & Crafts style Jamaica Plain home.,Private room
413,"A serene, green oasis in funky JP! ",Private room
414,Cozy Reading Bedroom,Private room
415,Great location! Cute guest room in Dutch gambrel,Private room
416,"Lg. Victorian Home, 7min to T",Entire home/apt
417,Unique Find: Private home in City!,Entire home/apt
418,2 Bdrm Apt w/ tower in JP Victorian,Entire home/apt
419,Fab House in Hip J.P.,Entire home/apt
420,"Nice room, great house and location!",Private room
421,Newly-renovated Apt among Trees,Entire home/apt
422,Full beautiful house w/ parking & deck!,Entire home/apt
423,"Private Floor, Private Bath, City Location",Private room
424,"Private studio, awesome location!!",Private room
425,The Music Box,Entire home/apt
426,1 Bedroom Jamaica Plain,Entire home/apt
427,The Roost-Master Suite-The Lion,Private room
428,Large Comfortable Home in JP,Entire home/apt
429,Gorgeous 2 bed/1 bth ideal location,Entire home/apt
430,Lovely Single Family Colonial Home,Entire home/apt
431,Family-friendly townhouse in JP,Entire home/apt
432,Sunny Two-Bedroom in Boston,Entire home/apt
433,Sunny 2 bedroom close to everything,Entire home/apt
434,Luxury Apt off Centre St & JP Pond,Entire home/apt
435,One Private room @ Jamaica Plain,Private room
436,Amazing artist apartment in Boston,Entire home/apt
437,Quiet room - Great location! ,Private room
438,Cozy artist room with porch access,Private room
439,Private Lower Level Loft (basement),Private room
440,Jamaica Plain Shangri-La,Private room
441,Lovely 2BR+ 2BA JP Cntr/Superhost,Entire home/apt
442,Cute & Comfy in JP!,Private room
443,Sunny Comfortable Apt in JP,Shared room
444,JP Gem near T 2BR sleeps 6! Spacious and Clean,Entire home/apt
445,"Fresh, Clean and Green Private Room",Private room
446,"Bed, Bath and Beyond II in JP",Private room
447,Light-filled En Suite Private Space,Private room
448,3 bedroom condo for the marathon,Entire home/apt
449,1 BR Garden Apartment in quiet Neighborhood,Entire home/apt
450,"Elegant room, colorful artist home",Private room
451,Studio apartment in historic Boston,Entire home/apt
452,"Spacious, modern--right next to T",Private room
453,Wonderful home Great Neighborhood mins from Boston,Entire home/apt
454,Quiet 2BD+ w/ parking by Stonybrook,Entire home/apt
455,Newly remodeled pet-friendly 2 bed w/ gym by park!,Entire home/apt
456,VICTORIAN condo in Jamaica Plain,Entire home/apt
457,Experience an 1880s Victorian house,Private room
458,New & comfy loft 15min T to Boston,Private room
459,Sunny room in Boston (JP),Private room
460,Lovely artist room in Boston,Private room
461,Historic family friendly in-suite apartment,Entire home/apt
462,"Next to Subway Station, very quiet",Private room
463,Loft & Bath On Top Floor in JP Boston Near Train,Private room
464,Great kid friendly furnished condo,Entire home/apt
465,Comfy rooms in the hills of JP,Entire home/apt
466,Super Studio-Private and Convenient,Entire home/apt
467,Welcome Home! 3bed near T w parking,Entire home/apt
468,A comfy room in the hills of JP,Private room
469,Elegant Space in JP!,Private room
470,"Bed, Bath & Beyond in Jamaica Plain",Private room
471,Sunlit & Beautiful in Boston's J.P. neighbourhood,Private room
472,Forest Treasure of Bountiful Wealth,Private room
473,Treetop Haven-Eclectic Boston Area,Entire home/apt
474,BOSTON ROOM/FREE TRANSIT/BY SUBWAY,Private room
475,Luxury condo in the heart of JP,Entire home/apt
476,Cozy & Quiet Bedroom Near Subway,Private room
477,"Cozy, Funky JP Condo",Entire home/apt
478,The Roost- The Elephant Room,Private room
479,"Sunny, Spacious and Affordable ",Entire home/apt
480,Beautiful modern condo near T,Private room
481,A private room at Sunnyside,Private room
